dcode,dname,oct_60,nov_60,dec_60,jan_61,feb_61,mar_61,apr_61,may_61,jun_61,jul_61,aug_61,sep_61
1038,ลาดพร้าว,6657.93,6091.23,6449.89,6432.39,6043.82,6643.2,6291.32,7015.59,6965.01,6870.24,7051.5,6918.61
1045,วังทองหลาง,7061.8,6937.28,6933.94,6914.36,6512.04,7331.87,6805.94,7595.19,7287.36,7138.37,7374.49,7150.08
1039,วัฒนา,8715.1,8352.22,8369.47,8563.75,7935.29,9015.92,8399.55,9048.93,9148.34,9293.35,9531.48,9005.46
1034,สวนหลวง,7142.6,6758.44,6648.98,6902.59,6354.12,7083.1,6920.39,7775.62,7582.82,7578.08,7587.66,7040.22
1044,สะพานสูง,3884.6,3680.13,3835.02,3668.61,3461.1,3929.24,3751.7,4200.5,3905.95,3999.3,4142.35,3860
1013,สัมพันธวงศ์,1784.02,1662.08,1777.21,1729.14,1723.51,1711.08,1548.76,1705.14,1621.48,1650.86,1745.57,1503.75
1028,สาทร,5646.62,5319.93,5152.63,5022.9,4679.32,5009.03,4735.55,5267.05,5027.43,5004.02,5219.52,4719.6
1042,สายไหม,7319.78,6860.28,6752.96,7249.38,6555.19,7441.21,6997.78,8052.39,7471.77,7643.35,7730.67,7229.36
1023,หนองแขม,5533.07,5266.14,5058.98,5300.1,5024.72,5684.9,4998.62,5698.06,5379.47,5332.05,5631.77,5362.1
1003,หนองจอก,4169.56,3861.49,3841.04,4099.72,3662.99,4135.21,4023.82,4572.32,4416.93,4529.43,4535.39,4216.86
1041,หลักสี่,5644.96,5538.57,5349.55,5578.56,5359.58,6034.83,5452.7,6223.68,5770.65,5651.8,5755.89,5485.5
1017,ห้วยขวาง,6834.21,6577.55,6580.73,6730.2,6339.47,7240.8,6778.21,7294.57,7105.93,7130.4,7256.16,7050.1
1000,อื่นๆ,18217.05,17315.44,16760.77,19893,17504.83,17906.48,15837.7,19220.53,17133.26,17591.82,18919.44,18327.36
